brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,vin_number,image_link,dealer_address,configuration
Other,Other,2012,21900,Blue,,Used,Other,Rear-wheel drive (RWD),Automatic,Other,108000,,1581,https://media.kijiji.ca/api/v1/autos-prod-ads/images/13/135c3209-30d3-4192-a701-8cc59996fb58?rule=kijijica-640-jpg,,
Land Rover,Discovery,2020,53990,Black,,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,60228,,SALRU2RV3L2423324,https://media.kijiji.ca/api/v1/autos-prod-ads/images/4e/4ec585fe-33cc-4b3f-b107-5bb00b3591b2?rule=kijijica-640-jpg,,
Toyota,Highlander,2020,44599,Other,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,60328,,5TDGZRBH9LS522428,https://media.kijiji.ca/api/v1/autos-prod-ads/images/b6/b6420884-79f3-4f74-9b42-591aee21a840?rule=kijijica-640-jpg,,
GMC,Terrain,2019,27495,Blue,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,61560,,3GKALTEV1KL301095,https://media.kijiji.ca/api/v1/autos-prod-ads/images/c5/c5e693b0-52c2-4025-b596-fcbfdf50efc6?rule=kijijica-640-jpg,,
Ford,Escape,2015,12000,"SUV, Crossover",,Used,Automatic,,,,162700,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/1b/1b0a20d8-6709-4e25-b707-823ebca07563?rule=kijijica-640-jpg,,
Volkswagen,Jetta,2006,5000,Silver,,Used,Sedan,Automatic,Gasoline,,277000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/a1/a1c861af-c805-4229-b5c4-eecafc59bffa?rule=kijijica-640-jpg,,
Nissan,Armada,2013,12345,Brown,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,289000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/d7/d7912982-47b2-4b53-8235-2c25e43302b1?rule=kijijica-640-jpg,,
Hyundai,Elantra,2011,4000,Sedan,,Used,Automatic,Gasoline,,,262125,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/e0/e0f762ea-d3eb-4e3a-b23f-50da86cc299a?rule=kijijica-640-jpg,,
Hyundai,Santa Fe,2013,8800,All-wheel drive (AWD),,Used,Automatic,Gasoline,5XYZUDLB5DG115791,,162000,,,https://media.kijiji.ca/api/v1/ca-prod-fsbo-ads/images/fb/fb7f0499-af96-4a5c-8d18-f6435c91d50a?rule=kijijica-640-jpg,,
Mazda,MX-5 Miata,2001,13500,Coupe (2 door),,Used,Rear-wheel drive (RWD),Other,Gasoline,JM1NB353210206619,130201,,2022-329,https://media.kijiji.ca/api/v1/ca-prod-dealer-ads/images/75/7592724f-cdac-4a71-892e-ae7f04ae4ec8?rule=kijijica-640-jpg,,
Ford,Edge,2016,19749,Grey,,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,128706,,2FMPK4G94GBC38460,https://media.kijiji.ca/api/v1/autos-prod-ads/images/19/19d5be3c-1aff-4201-8dd7-191459386e02?rule=kijijica-640-jpg,,
